       0.2107148921E+00      0.9953219867E+00      0.9937224413E+00      0.9999583244E+00      0.9937638569E+00      0.1006275277E+01      0.5579592909E+00      0.1000005041E+01      0.9999980062E+00      0.4468102970E-01      0.2974918407E-01      0.2238152538E+02      0.1768667567E+00      0.9937627316E+00
       0.2121917686E+00      0.9952229299E+00      0.9935886879E+00      0.9999566247E+00      0.9936317870E+00      0.1006409027E+01      0.5658081410E+00      0.1000005210E+01      0.9999979199E+00      0.4531564482E-01      0.3017087805E-01      0.2206811534E+02      0.1787117327E+00      0.9936306614E+00
       0.2136480775E+00      0.9951238929E+00      0.9934549258E+00      0.9999548889E+00      0.9934997436E+00      0.1006542786E+01      0.5736013700E+00      0.1000005382E+01      0.9999978318E+00      0.4594597518E-01      0.3058969505E-01      0.2176539243E+02      0.1805367654E+00      0.9934986176E+00
       0.2150845125E+00      0.9950248756E+00      0.9933211548E+00      0.9999531171E+00      0.9933677267E+00      0.1006676554E+01      0.5813404689E+00      0.1000005558E+01      0.9999977419E+00      0.4657213851E-01      0.3100571365E-01      0.2147278486E+02      0.1823424543E+00      0.9933666004E+00
       0.2165017304E+00      0.9949258780E+00      0.9931873750E+00      0.9999513093E+00      0.9932357363E+00      0.1006810331E+01      0.5890268598E+00      0.1000005737E+01      0.9999976501E+00      0.4719424707E-01      0.3141900880E-01      0.2118976212E+02      0.1841293691E+00      0.9932346097E+00
       0.2179003540E+00      0.9948269001E+00      0.9930535865E+00      0.9999494655E+00      0.9931037725E+00      0.1006944116E+01      0.5966618997E+00      0.1000005920E+01      0.9999975564E+00      0.4781240797E-01      0.3182965199E-01      0.2091583118E+02      0.1858980518E+00      0.9931026455E+00
       0.2192809744E+00      0.9947279419E+00      0.9929197891E+00      0.9999475856E+00      0.9929718351E+00      0.1007077910E+01      0.6042468853E+00      0.1000006106E+01      0.9999974610E+00      0.4842672354E-01      0.3223771154E-01      0.2065053327E+02      0.1876490186E+00      0.9929707078E+00
       0.2206441530E+00      0.9946290034E+00      0.9927859830E+00      0.9999456697E+00      0.9928399242E+00      0.1007211712E+01      0.6117830563E+00      0.1000006296E+01      0.9999973636E+00      0.4903729162E-01      0.3264325275E-01      0.2039344082E+02      0.1893827615E+00      0.9928387966E+00
       0.2219904239E+00      0.9945300845E+00      0.9926521680E+00      0.9999437177E+00      0.9927080399E+00      0.1007345523E+01      0.6192715991E+00      0.1000006489E+01      0.9999972644E+00      0.4964420579E-01      0.3304633811E-01      0.2014415490E+02      0.1910997499E+00      0.9927069119E+00
       0.2233202952E+00      0.9944311854E+00      0.9925183442E+00      0.9999417297E+00      0.9925761820E+00      0.1007479343E+01      0.6267136502E+00      0.1000006686E+01      0.9999971634E+00      0.5024755570E-01      0.3344702747E-01      0.1990230272E+02      0.1928004321E+00      0.9925750536E+00
       0.2246342511E+00      0.9943323059E+00      0.9923845117E+00      0.9999397056E+00      0.9924443506E+00      0.1007613172E+01      0.6341102987E+00      0.1000006886E+01      0.9999970605E+00      0.5084742727E-01      0.3384537817E-01      0.1966753558E+02      0.1944852364E+00      0.9924432219E+00
       0.2259327534E+00      0.9942334460E+00      0.9922506704E+00      0.9999376453E+00      0.9923125457E+00      0.1007747009E+01      0.6414625895E+00      0.1000007090E+01      0.9999969558E+00      0.5144390288E-01      0.3424144523E-01      0.1943952688E+02      0.1961545725E+00      0.9923114167E+00
       0.2272162425E+00      0.9941346058E+00      0.9921168202E+00      0.9999355490E+00      0.9921807672E+00      0.1007880855E+01      0.6487715257E+00      0.1000007298E+01      0.9999968492E+00      0.5203706162E-01      0.3463528144E-01      0.1921797036E+02      0.1978088327E+00      0.9921796379E+00
       0.2284851394E+00      0.9940357853E+00      0.9919829613E+00      0.9999334166E+00      0.9920490153E+00      0.1008014710E+01      0.6560380707E+00      0.1000007509E+01      0.9999967407E+00      0.5262697945E-01      0.3502693752E-01      0.1900257854E+02      0.1994483926E+00      0.9920478856E+00
       0.2297398461E+00      0.9939369844E+00      0.9918490936E+00      0.9999312481E+00      0.9919172898E+00      0.1008148573E+01      0.6632631509E+00      0.1000007723E+01      0.9999966304E+00      0.5321372939E-01      0.3541646222E-01      0.1879308124E+02      0.2010736124E+00      0.9919161598E+00
       0.2309807475E+00      0.9938382031E+00      0.9917152171E+00      0.9999290434E+00      0.9917855909E+00      0.1008282445E+01      0.6704476573E+00      0.1000007941E+01      0.9999965182E+00      0.5379738164E-01      0.3580390241E-01      0.1858922434E+02      0.2026848378E+00      0.9917844605E+00
       0.2322082117E+00      0.9937394415E+00      0.9915813319E+00      0.9999268026E+00      0.9916539183E+00      0.1008416325E+01      0.6775924475E+00      0.1000008163E+01      0.9999964042E+00      0.5437800379E-01      0.3618930322E-01      0.1839076852E+02      0.2042824003E+00      0.9916527876E+00
