 Nouvelles tables d'opacite d'Anders-Grevesse 1991 (completes par Kurucz pour x=0.7 et T6<0.010, seulement table 8)
 completees  par  les tables de Kurucz pour  X = 0.7             et T6 < 0.006
                  les tables de Huebner pour X = 0.0, 0.35, 0.7  et T6 > 100.
                  les tables de Huebner pour X = 0.0, 0.35       et T6 < 0.006

 Les tables d'opacite d'Anders-Grevesse 1991, pour Z = 0.0 ne sont pas prises.

 T6 est la temperature en million de degres
 R  est  definie comme R = Rho/ (T6)**3 ou Rho est la densite


               TABLE  1   (date: 03/20/92 with Fe intermediate coupling)

               Grevesse'91 Abundances for X=0.70 and Z=0.0000

                                          Log R

    T6  -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0

  0.005 -2.756 -2.756 -2.756 -2.756 -2.756 -2.846 -2.971 -3.080 -2.989 -2.853 -2.664 -2.423 -2.141 -1.972 -1.670 -1.473 -1.173
  0.006 -0.845 -1.029 -1.206 -1.376 -1.586 -1.666 -1.825 -1.849 -1.818 -1.635 -1.483 -1.270 -1.088 -0.862 -0.632 -0.391 -0.130
  0.007 -0.554 -0.560 -0.591 -0.646 -0.721 -0.787 -0.828 -0.825 -0.768 -0.670 -0.548 -0.382 -0.206 -0.023  0.174  0.387  0.611
  0.008 -0.535 -0.505 -0.439 -0.339 -0.221 -0.115 -0.031  0.039  0.100  0.191  0.287  0.403  0.540  0.689  0.848  1.025  1.220
  0.009 -0.537 -0.516 -0.438 -0.302 -0.089  0.181  0.438  0.636  0.789  0.897  0.991  1.088  1.186  1.296  1.417  1.563  1.729
  0.010 -0.536 -0.524 -0.453 -0.323 -0.099  0.225  0.586  0.935  1.201  1.396  1.531  1.627  1.712  1.802  1.904  2.023  2.162
  0.011 -0.518 -0.519 -0.462 -0.347 -0.135  0.188  0.583  1.001  1.395  1.687  1.890  2.030  2.122  2.207  2.299  2.395  2.524
  0.012 -0.500 -0.500 -0.453 -0.359 -0.170  0.134  0.531  0.971  1.424  1.815  2.110  2.301  2.441  2.540  2.635  2.736  2.850
  0.014 -0.493 -0.487 -0.441 -0.355 -0.194  0.060  0.403  0.835  1.322  1.811  2.245  2.588  2.839  3.014  3.141  3.261  3.379
  0.016 -0.488 -0.481 -0.440 -0.363 -0.215  0.026  0.354  0.752  1.214  1.732  2.222  2.673  3.043  3.309  3.501  3.652  3.786
  0.018 -0.484 -0.474 -0.435 -0.367 -0.233 -0.009  0.312  0.721  1.194  1.685  2.180  2.684  3.136  3.492  3.756  3.950  4.110
  0.020 -0.481 -0.466 -0.428 -0.365 -0.242 -0.033  0.278  0.697  1.168  1.661  2.175  2.689  3.185  3.614  3.940  4.181  4.375
  0.025 -0.472 -0.447 -0.399 -0.330 -0.217 -0.027  0.270  0.687  1.174  1.701  2.235  2.769  3.302  3.809  4.238  4.583  4.836
  0.030 -0.448 -0.421 -0.366 -0.282 -0.157  0.034  0.328  0.751  1.251  1.776  2.320  2.872  3.441  3.972  4.442  4.833  5.138
  0.035 -0.448 -0.428 -0.359 -0.239 -0.068  0.142  0.441  0.851  1.345  1.878  2.423  2.980  3.554  4.100  4.590  4.995  5.312
  0.040 -0.451 -0.438 -0.373 -0.256 -0.053  0.230  0.579  0.991  1.465  1.984  2.519  3.071  3.633  4.176  4.667  5.073  5.384
  0.045 -0.453 -0.445 -0.387 -0.280 -0.087  0.209  0.615  1.090  1.568  2.067  2.585  3.121  3.664  0.000  0.000  0.000  0.000
  0.050 -0.454 -0.448 -0.397 -0.302 -0.121  0.161  0.557  1.049  1.575  2.096  2.606  3.127  3.650  0.000  0.000  0.000  0.000
  0.055 -0.454 -0.449 -0.405 -0.321 -0.154  0.110  0.488  0.956  1.486  2.037  2.574  3.094  3.604  0.000  0.000  0.000  0.000
  0.060 -0.453 -0.448 -0.408 -0.333 -0.182  0.065  0.424  0.871  1.387  1.933  2.494  3.034  3.542  0.000  0.000  0.000  0.000
  0.070 -0.453 -0.444 -0.408 -0.345 -0.216  0.001  0.329  0.753  1.254  1.772  2.336  2.898  3.432  0.000  0.000  0.000  0.000
  0.080 -0.453 -0.441 -0.405 -0.344 -0.230 -0.030  0.277  0.685  1.180  1.695  2.246  2.803  3.356  0.000  0.000  0.000  0.000
  0.090 -0.454 -0.442 -0.404 -0.340 -0.228 -0.039  0.257  0.664  1.151  1.664  2.208  2.762  3.318  0.000  0.000  0.000  0.000
  0.100 -0.456 -0.447 -0.410 -0.343 -0.230 -0.039  0.255  0.650  1.139  1.660  2.202  2.753  3.307  0.000  0.000  0.000  0.000
  0.120 -0.448 -0.446 -0.414 -0.351 -0.230 -0.031  0.272  0.674  1.158  1.680  2.214  2.756  3.293  0.000  0.000  0.000  0.000
  0.150 -0.439 -0.436 -0.409 -0.360 -0.253 -0.055  0.256  0.658  1.133  1.635  2.143  2.650  3.143  0.000  0.000  0.000  0.000
  0.200 -0.448 -0.441 -0.419 -0.381 -0.301 -0.146  0.112  0.460  0.873  1.319  1.780  2.247  2.705  0.000  0.000  0.000  0.000
  0.250 -0.462 -0.456 -0.438 -0.407 -0.344 -0.224 -0.024  0.262  0.615  1.015  1.447  1.897  2.347  0.000  0.000  0.000  0.000
  0.300 -0.467 -0.465 -0.453 -0.430 -0.380 -0.281 -0.113  0.128  0.435  0.800  1.207  1.643  2.088  0.000  0.000  0.000  0.000
  0.400 -0.470 -0.469 -0.463 -0.450 -0.419 -0.354 -0.235 -0.043  0.212  0.531  0.903  1.314  1.744  0.000  0.000  0.000  0.000
  0.500 -0.470 -0.470 -0.465 -0.457 -0.436 -0.390 -0.302 -0.150  0.076  0.369  0.718  1.108  1.523  0.000  0.000  0.000  0.000
  0.600 -0.469 -0.470 -0.467 -0.461 -0.444 -0.408 -0.340 -0.213 -0.011  0.261  0.593  0.969  1.374  0.000  0.000  0.000  0.000
  0.800 -0.471 -0.470 -0.468 -0.464 -0.452 -0.427 -0.375 -0.278 -0.114  0.126  0.435  0.790  1.174  0.000  0.000  0.000  0.000
  1.000 -0.470 -0.469 -0.468 -0.465 -0.456 -0.437 -0.395 -0.314 -0.168  0.055  0.348  0.681  1.040  1.423  0.000  0.000  0.000
  1.200 -0.470 -0.469 -0.467 -0.463 -0.456 -0.439 -0.404 -0.334 -0.203  0.004  0.281  0.593  0.935  1.307  0.000  0.000  0.000
  1.500 -0.470 -0.470 -0.469 -0.465 -0.457 -0.441 -0.410 -0.350 -0.242 -0.055  0.192  0.480  0.807  1.179  0.000  0.000  0.000
  2.000 -0.471 -0.472 -0.471 -0.469 -0.463 -0.449 -0.421 -0.367 -0.272 -0.123  0.085  0.348  0.664  1.052  0.000  0.000  0.000
  2.500 -0.473 -0.473 -0.472 -0.471 -0.467 -0.456 -0.433 -0.386 -0.303 -0.172  0.016  0.265  0.577  0.971  0.000  0.000  0.000
  3.000 -0.473 -0.473 -0.473 -0.472 -0.468 -0.460 -0.441 -0.402 -0.328 -0.211 -0.037  0.197  0.510  0.899  0.000  0.000  0.000
  4.000 -0.475 -0.475 -0.474 -0.474 -0.471 -0.465 -0.450 -0.418 -0.356 -0.254 -0.098  0.121  0.436  0.806  0.000  0.000  0.000
  5.000 -0.476 -0.476 -0.475 -0.475 -0.472 -0.467 -0.454 -0.427 -0.372 -0.281 -0.138  0.073  0.373  0.740  0.000  0.000  0.000
  6.000 -0.476 -0.476 -0.476 -0.476 -0.474 -0.470 -0.459 -0.434 -0.384 -0.300 -0.169  0.039  0.326  0.686  0.000  0.000  0.000
  8.000 -0.478 -0.479 -0.478 -0.478 -0.476 -0.473 -0.464 -0.443 -0.399 -0.327 -0.207 -0.009  0.259  0.600  0.000  0.000  0.000
 10.000 -0.480 -0.481 -0.480 -0.480 -0.478 -0.474 -0.466 -0.449 -0.411 -0.347 -0.224 -0.047  0.210  0.533  0.000  0.000  0.000
 15.000 -0.485 -0.485 -0.485 -0.485 -0.483 -0.480 -0.475 -0.459 -0.426 -0.374 -0.270 -0.110  0.116  0.409  0.000  0.000  0.000
 20.000 -0.490 -0.490 -0.490 -0.489 -0.489 -0.486 -0.480 -0.469 -0.439 -0.391 -0.301 -0.158  0.047  0.319  0.000  0.000  0.000
 30.000 -0.499 -0.499 -0.499 -0.499 -0.498 -0.496 -0.494 -0.485 -0.459 -0.418 -0.344 -0.229 -0.055  0.192  0.000  0.000  0.000
 40.000 -0.509 -0.509 -0.508 -0.508 -0.508 -0.506 -0.505 -0.497 -0.475 -0.440 -0.380 -0.284 -0.132  0.101  0.000  0.000  0.000
 60.000 -0.527 -0.527 -0.527 -0.526 -0.526 -0.525 -0.522 -0.519 -0.504 -0.478 -0.438 -0.371 -0.248 -0.024  0.000  0.000  0.000
 80.000 -0.545 -0.545 -0.545 -0.545 -0.544 -0.543 -0.545 -0.538 -0.527 -0.512 -0.487 -0.441 -0.335 -0.113  0.000  0.000  0.000
100.000 -0.563 -0.563 -0.563 -0.563 -0.563 -0.562 -0.561 -0.560 -0.551 -0.543 -0.532 -0.502 -0.402 -0.184  0.000  0.000  0.000
300.000 -0.693 -0.693 -0.693 -0.693 -0.694 -0.693 -0.694 -0.690 -0.671 -0.655 -0.683 -0.698 -0.710 -0.518  0.060  1.195  2.709
500.000 -0.787 -0.787 -0.787 -0.787 -0.787 -0.787 -0.787 -0.785 -0.783 -0.779 -0.775 -0.774 -0.686 -0.447  0.254  2.077  0.000
999.990 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.951 -0.947 -0.924 -0.873 -0.287  0.300  4.612  8.923


          TABLE  3   (date: 03/20/92 with Fe intermediate coupling)

               Grevesse'91 Abundances for X=0.70 and Z=0.0003

                                          Log R

    T6  -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5 -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0

  0.002 -4.461 -4.461 -4.461 -4.633 -4.833 -5.040 -5.247 -5.450 -5.626 -5.746 -5.812 -5.802 -5.760 -5.743 -5.705 -5.607 -5.462
  0.003 -5.530 -5.530 -5.502 -5.469 -5.437 -5.405 -5.380 -5.347 -5.284 -5.199 -5.102 -4.986 -4.846 -4.682 -4.490 -4.277 -4.048
  0.004 -3.646 -3.715 -3.829 -3.945 -4.062 -4.189 -4.306 -4.373 -4.376 -4.296 -4.139 -3.919 -3.652 -3.356 -3.049 -2.749 -2.470
  0.005 -2.038 -2.199 -2.362 -2.527 -2.697 -2.875 -2.998 -3.021 -2.960 -2.814 -2.620 -2.405 -2.174 -1.936 -1.691 -1.439 -1.190
  0.006 -0.844 -1.027 -1.205 -1.375 -1.585 -1.665 -1.824 -1.848 -1.816 -1.633 -1.480 -1.266 -1.083 -0.856 -0.624 -0.381 -0.117
  0.007 -0.552 -0.558 -0.589 -0.644 -0.719 -0.785 -0.827 -0.823 -0.766 -0.668 -0.546 -0.379 -0.201 -0.017  0.180  0.394  0.619
  0.008 -0.533 -0.502 -0.436 -0.336 -0.219 -0.113 -0.030  0.040  0.102  0.193  0.289  0.406  0.543  0.693  0.853  1.030  1.226
  0.009 -0.535 -0.513 -0.434 -0.298 -0.085  0.184  0.440  0.638  0.791  0.900  0.994  1.091  1.189  1.300  1.423  1.570  1.736
  0.010 -0.534 -0.522 -0.450 -0.319 -0.094  0.230  0.589  0.938  1.204  1.399  1.534  1.630  1.715  1.806  1.909  2.028  2.168
  0.011 -0.516 -0.516 -0.458 -0.342 -0.128  0.196  0.591  1.008  1.401  1.692  1.894  2.034  2.127  2.212  2.304  2.401  2.531
  0.012 -0.498 -0.497 -0.449 -0.353 -0.163  0.143  0.540  0.979  1.430  1.820  2.114  2.305  2.445  2.545  2.640  2.740  2.855
  0.014 -0.489 -0.483 -0.436 -0.349 -0.187  0.069  0.412  0.844  1.329  1.817  2.250  2.592  2.843  3.017  3.144  3.264  3.382
  0.016 -0.484 -0.476 -0.433 -0.355 -0.206  0.036  0.364  0.761  1.221  1.737  2.226  2.677  3.046  3.312  3.503  3.654  3.788
  0.018 -0.480 -0.469 -0.428 -0.357 -0.222  0.004  0.323  0.730  1.201  1.690  2.184  2.688  3.139  3.494  3.757  3.951  4.111
  0.020 -0.477 -0.462 -0.422 -0.357 -0.232 -0.020  0.289  0.706  1.175  1.666  2.179  2.692  3.187  3.615  3.941  4.182  4.376
